song_id,name,difficulty,level,unofficial_diff
10004-7-0,"ALIEN TEMPLE",ANOTHER,10,10.2
10005-5-0,"ASTRAL VOYAGE",HYPER,9,9.3
10005-7-0,"ASTRAL VOYAGE",ANOTHER,10,10.7
10006-5-0,"BABY LOVE",HYPER,7,7.5
10006-7-0,"BABY LOVE",ANOTHER,11,11.2
10007-5-0,"Back Into The light",HYPER,9,9.6
10007-7-0,"Back Into The light",ANOTHER,10,11.2
10008-5-0,Boundary,HYPER,9,9.6
10008-7-0,Boundary,ANOTHER,9,9.6
10009-5-0,"CARRY ON NIGHT (English version)",HYPER,8,8.5
10009-7-0,"CARRY ON NIGHT (English version)",ANOTHER,10,10.7
10010-5-0,Changes,HYPER,10,10.5
10011-5-0,"CHOO CHOO TRAIN (dnb mix)",HYPER,8,8.5
10011-7-0,"CHOO CHOO TRAIN (dnb mix)",ANOTHER,10,10.0
10013-5-0,Daisuke,HYPER,8,9.0
10013-7-0,Daisuke,ANOTHER,11,11.6
10014-5-0,"Debtty Daddy",HYPER,8,8.5
10014-7-0,"Debtty Daddy",ANOTHER,11,11.6
10016-5-0,DoLL,HYPER,7,7.5
10016-7-0,DoLL,ANOTHER,9,9.3
10017-7-0,"Don't forget",ANOTHER,8,8.0
10018-5-0,"Drop on the floor",HYPER,7,7.0
10018-7-0,"Drop on the floor",ANOTHER,9,9.3
10019-5-0,EXE,HYPER,8,9.0
10020-5-0,Feedback,HYPER,10,10.0
10020-7-0,Feedback,ANOTHER,10,10.7
10021-5-0,"FEEL IT",HYPER,9,9.6
10021-7-0,"FEEL IT",ANOTHER,10,10.2
10022-5-0,"Freezing atmosphere",HYPER,8,8.5
10022-7-0,"Freezing atmosphere",ANOTHER,10,11.0
10023-5-0,"GHOST REVIVAL",HYPER,9,9.6
10023-7-0,"GHOST REVIVAL",ANOTHER,12,12.0
10024-5-0,"GRADIUS -FULL SPEED-",HYPER,7,8.0
10024-7-0,"GRADIUS -FULL SPEED-",ANOTHER,11,11.0
10025-5-0,"HI SCHOOL DREAM",HYPER,10,10.2
10025-7-0,"HI SCHOOL DREAM",ANOTHER,10,10.5
10026-5-0,HIGH,HYPER,9,9.3
10026-7-0,HIGH,ANOTHER,10,10.2
10027-5-0,"Innocent Walls",HYPER,10,11.0
10027-7-0,"Innocent Walls",ANOTHER,12,12.2
10028-5-0,JAM,HYPER,10,10.2
10028-7-0,JAM,ANOTHER,12,12.1
10030-5-0,LIMITED,HYPER,7,8.0
10030-7-0,LIMITED,ANOTHER,8,9.0
10031-5-0,"Love Is Eternity",HYPER,10,9.6
10031-7-0,"Love Is Eternity",ANOTHER,12,12.2
10032-5-0,LOW,HYPER,8,8.5
10032-7-0,LOW,ANOTHER,10,11.0
10033-5-0,Lucy,HYPER,10,10.5
10034-5-0,"Narcissus At Oasis",HYPER,10,10.7
10034-7-0,"Narcissus At Oasis",ANOTHER,11,11.2
10035-7-0,"NO DOUBT GET LOUD",ANOTHER,7,8.5
10036-5-0,No.13,HYPER,10,10.2
10036-7-0,No.13,ANOTHER,12,12.2
10037-5-0,"One More Lovely",HYPER,10,10.0
10037-7-0,"One More Lovely",ANOTHER,12,12.4
10038-5-0,pandora,HYPER,9,9.6
10038-7-0,pandora,ANOTHER,11,11.4
10039-5-0,PLATONIC-XXX,HYPER,8,8.5
10039-7-0,PLATONIC-XXX,ANOTHER,10,10.7
10040-5-0,R2,HYPER,8,8.5
10040-7-0,R2,ANOTHER,10,10.2
10041-5-0,"rainbow rainbow",HYPER,9,9.3
10041-7-0,"rainbow rainbow",ANOTHER,11,11.2
10042-5-0,"Ready To Rockit Blues",HYPER,7,6.0
10042-7-0,"Ready To Rockit Blues (10th)",ANOTHER,8,8.5
10042-7-1,"Ready To Rockit Blues (TRI)",ANOTHER,9,9.6
10043-5-0,"Rise'n Beauty (10th)",HYPER,10,10.0
10043-5-1,"Rise'n Beauty (CS DJT)",HYPER,10,10.2
10043-7-0,"Rise'n Beauty (10th)",ANOTHER,11,11.2
10043-7-1,"Rise'n Beauty (CS DJT)",ANOTHER,11,11.6
10044-5-0,scherzo,HYPER,8,7.0
10045-5-1,"SCORE (CH)",HYPER,8,8.0
10045-7-1,"SCORE (CH)",ANOTHER,10,9.6
10046-5-0,"Shakin'31",HYPER,7,9.3
10047-5-0,"SHOOTING STAR",HYPER,9,9.3
10047-7-0,"SHOOTING STAR",ANOTHER,11,11.0
10048-5-0,"Smell Like This",HYPER,8,8.0
10048-7-0,"Smell Like This",ANOTHER,9,9.6
10049-5-0,"SPACE FIGHT",HYPER,8,8.5
10049-7-0,"SPACE FIGHT",ANOTHER,11,11.6
10050-7-0,"Think of me",ANOTHER,7,9.0
10051-5-0,"システムロマンス",HYPER,7,7.5
10052-5-0,"どんなときも。",HYPER,8,9.0
10053-5-0,"一途な恋 (HYPER J-EURO MIX)",HYPER,7,8.5
